UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58651060,58651060,ALGEMEEN,KEOLIS
58651080,58651080,ALGEMEEN,KEOLIS
58655130,58655130,ALGEMEEN,KEOLIS
58655520,58655520,ALGEMEEN,KEOLIS
58420010,58420010,ALGEMEEN,KEOLIS
58420100,58420100,ALGEMEEN,KEOLIS
58420120,58420120,ALGEMEEN,KEOLIS
58420130,58420130,ALGEMEEN,KEOLIS
58420180,58420180,ALGEMEEN,KEOLIS
58420220,58420220,ALGEMEEN,KEOLIS
58420230,58420230,ALGEMEEN,KEOLIS
58650110,58650110,ALGEMEEN,KEOLIS
58650150,58650150,ALGEMEEN,KEOLIS
58650250,58650250,ALGEMEEN,KEOLIS
58650350,58650350,ALGEMEEN,KEOLIS
58650430,58650430,ALGEMEEN,KEOLIS
58650670,58650670,ALGEMEEN,KEOLIS
58650690,58650690,ALGEMEEN,KEOLIS
58651050,58651050,ALGEMEEN,KEOLIS
58651070,58651070,ALGEMEEN,KEOLIS
58655510,58655510,ALGEMEEN,KEOLIS
UserStopCode,TimingPointCode,TimingPointDataOwnerCode,DataOwnerCode
58420020,58420020,ALGEMEEN,KEOLIS
58420090,58420090,ALGEMEEN,KEOLIS
58420110,58420110,ALGEMEEN,KEOLIS
58420140,58420140,ALGEMEEN,KEOLIS
58420170,58420170,ALGEMEEN,KEOLIS
58420210,58420210,ALGEMEEN,KEOLIS
58420240,58420240,ALGEMEEN,KEOLIS
58420254,58420254,ALGEMEEN,KEOLIS
58650120,58650120,ALGEMEEN,KEOLIS
58650260,58650260,ALGEMEEN,KEOLIS
58650300,58650300,ALGEMEEN,KEOLIS
58650360,58650360,ALGEMEEN,KEOLIS
58650440,58650440,ALGEMEEN,KEOLIS
58650660,58650660,ALGEMEEN,KEOLIS
58650680,58650680,ALGEMEEN,KEOLIS
58651060,58651060,ALGEMEEN,KEOLIS
58651080,58651080,ALGEMEEN,KEOLIS
58655130,58655130,ALGEMEEN,KEOLIS
